seed,train_loss,test_loss
1,0.118,0.1248
2,0.1166,0.1254
3,0.1184,0.1276
4,0.1176,0.1216
5,0.1179,0.1269
6,0.1171,0.1243
7,0.1177,0.1235
8,0.1167,0.1227
9,0.1165,0.1219
10,0.1175,0.1243
11,0.1176,0.123
12,0.1173,0.1251
13,0.1164,0.1233
14,0.1255,0.1302
15,0.1188,0.126
16,0.1172,0.1254
17,0.1163,0.1251
18,0.1177,0.1235
19,0.1171,0.1251
20,0.1174,0.124
21,0.1165,0.1261
22,0.1182,0.1261
23,0.1172,0.1241
24,0.1358,0.1492
25,0.1253,0.1322
26,0.1181,0.1278
27,0.1183,0.1249
28,0.1163,0.125
29,0.1169,0.1235
30,0.1177,0.1258
